Week,Used Minutes,Patients Registered
1,4816.1,93
2,5528.35,104
3,5171.23,96
4,6220.18,112
5,4796.28,90
6,3926.09,73
7,3908.94,67
8,4953.65,84
9,5489.03,101
10,3678.6,75
11,5337.84,97
12,4552.72,88
13,6052.94,115
14,4869.49,90
15,5134.56,101
16,5993.99,115
17,5538.77,100
18,5118.04,101
19,5296.9,97
20,4035.77,74
21,3414.62,65
22,5670.13,104
23,3349.37,62
24,4644.56,87
25,3975.26,74
26,5906.31,116
27,6632.62,121
28,5329.31,93
29,5691.71,109
30,3908.7,72
31,5395.58,109
32,4462.06,82
33,5179.29,93
34,3599.69,69
35,4441.69,80
36,5481.48,103
37,5188.19,94
38,4342.62,81
39,5530.63,105
40,5132.26,94
41,5992.22,116
42,4518.38,92
43,4137.34,80
44,6084.94,119
45,3405.46,68
46,3935.51,67
47,4367.88,78
48,4473.72,84
49,4665.4,89
50,4843.85,88
51,5877.92,112
52,4335.57,80
