Week,Used Minutes,Patients Registered
1,5794.35,123
2,5185.15,103
3,5893.66,117
4,5122.54,110
5,3897.0,77
6,5209.09,107
7,2977.34,62
8,5249.05,106
9,5842.04,115
10,5654.38,116
11,5765.68,121
12,5032.1,110
13,5564.18,115
14,4783.22,101
15,4796.33,102
16,5004.46,103
17,4936.41,99
18,4537.04,99
19,4776.72,96
20,4540.94,90
21,5248.95,110
22,5782.2,113
23,5231.67,110
24,4440.53,89
25,4298.77,89
26,4235.71,84
27,5075.7,109
28,4206.2,90
29,6477.84,132
30,5088.97,111
31,5235.0,104
32,4863.76,99
33,3768.94,78
34,4473.83,91
35,4389.89,88
36,5073.8,108
37,4064.75,86
38,5447.55,118
39,4806.49,102
40,4620.21,94
41,4870.95,104
42,5414.23,121
43,5185.77,98
44,6574.48,129
45,5402.46,108
46,4932.06,103
47,4936.36,100
48,4069.04,87
49,6394.74,128
50,3928.98,87
51,4946.29,101
52,5173.13,107
