indice_i,id_i,w,d,day,mtb,accettato
0,1,1,0,1,10,0.0
0,1,1,1,1,10,-0.0
0,1,1,2,1,10,-0.0
0,1,1,3,1,10,-0.0
0,1,1,4,1,10,-0.0
0,1,2,0,1,10,-0.0
0,1,2,1,1,10,-0.0
0,1,2,2,1,10,-0.0
0,1,2,3,1,10,1.0
0,1,2,4,1,10,-0.0
1,2,1,0,1,21,-0.0
1,2,1,1,1,21,1.0
1,2,1,2,1,21,-0.0
1,2,1,3,1,21,-0.0
1,2,1,4,1,21,-0.0
1,2,2,0,1,21,-0.0
1,2,2,1,1,21,-0.0
1,2,2,2,1,21,0.0
1,2,2,3,1,21,-0.0
1,2,2,4,1,21,-0.0
2,3,1,0,1,21,-0.0
2,3,1,1,1,21,-0.0
2,3,1,2,1,21,1.0
2,3,1,3,1,21,-0.0
2,3,1,4,1,21,-0.0
2,3,2,0,1,21,-0.0
2,3,2,1,1,21,0.0
2,3,2,2,1,21,-0.0
2,3,2,3,1,21,-0.0
2,3,2,4,1,21,-0.0
3,4,1,0,1,14,-0.0
3,4,1,1,1,14,1.0
3,4,1,2,1,14,-0.0
3,4,1,3,1,14,-0.0
3,4,1,4,1,14,-0.0
3,4,2,0,1,14,-0.0
3,4,2,1,1,14,-0.0
3,4,2,2,1,14,-0.0
3,4,2,3,1,14,-0.0
3,4,2,4,1,14,-0.0
4,5,1,0,1,15,-0.0
4,5,1,1,1,15,-0.0
4,5,1,2,1,15,-0.0
4,5,1,3,1,15,-0.0
4,5,1,4,1,15,-0.0
4,5,2,0,1,15,1.0
4,5,2,1,1,15,-0.0
4,5,2,2,1,15,-0.0
4,5,2,3,1,15,-0.0
4,5,2,4,1,15,-0.0
5,6,1,0,1,14,-0.0
5,6,1,1,1,14,1.0
5,6,1,2,1,14,-0.0
5,6,1,3,1,14,-0.0
5,6,1,4,1,14,0.0
5,6,2,0,1,14,-0.0
5,6,2,1,1,14,-0.0
5,6,2,2,1,14,-0.0
5,6,2,3,1,14,-0.0
5,6,2,4,1,14,-0.0
6,7,1,0,1,18,-0.0
6,7,1,1,1,18,1.0
6,7,1,2,1,18,-0.0
6,7,1,3,1,18,-0.0
6,7,1,4,1,18,0.0
6,7,2,0,1,18,-0.0
6,7,2,1,1,18,-0.0
6,7,2,2,1,18,-0.0
6,7,2,3,1,18,-0.0
6,7,2,4,1,18,-0.0
7,8,1,0,1,9,-0.0
7,8,1,1,1,9,-0.0
7,8,1,2,1,9,-0.0
7,8,1,3,1,9,-0.0
7,8,1,4,1,9,-0.0
7,8,2,0,1,9,-0.0
7,8,2,1,1,9,-0.0
7,8,2,2,1,9,1.0
7,8,2,3,1,9,0.0
7,8,2,4,1,9,-0.0
8,9,1,0,1,22,-0.0
8,9,1,1,1,22,-0.0
8,9,1,2,1,22,-0.0
8,9,1,3,1,22,-0.0
8,9,1,4,1,22,-0.0
8,9,2,0,1,22,1.0
8,9,2,1,1,22,-0.0
8,9,2,2,1,22,-0.0
8,9,2,3,1,22,-0.0
8,9,2,4,1,22,0.0
9,10,1,0,1,21,1.0
9,10,1,1,1,21,-0.0
9,10,1,2,1,21,-0.0
9,10,1,3,1,21,-0.0
9,10,1,4,1,21,-0.0
9,10,2,0,1,21,0.0
9,10,2,1,1,21,-0.0
9,10,2,2,1,21,-0.0
9,10,2,3,1,21,-0.0
9,10,2,4,1,21,-0.0
10,11,1,0,1,7,-0.0
10,11,1,1,1,7,-0.0
10,11,1,2,1,7,-0.0
10,11,1,3,1,7,-0.0
10,11,1,4,1,7,-0.0
10,11,2,0,1,7,-0.0
10,11,2,1,1,7,-0.0
10,11,2,2,1,7,-0.0
10,11,2,3,1,7,-0.0
10,11,2,4,1,7,1.0
11,12,1,0,1,14,-0.0
11,12,1,1,1,14,-0.0
11,12,1,2,1,14,-0.0
11,12,1,3,1,14,0.0
11,12,1,4,1,14,1.0
11,12,2,0,1,14,-0.0
11,12,2,1,1,14,-0.0
11,12,2,2,1,14,-0.0
11,12,2,3,1,14,-0.0
11,12,2,4,1,14,-0.0
12,13,1,0,1,16,-0.0
12,13,1,1,1,16,-0.0
12,13,1,2,1,16,-0.0
12,13,1,3,1,16,-0.0
12,13,1,4,1,16,-0.0
12,13,2,0,1,16,-0.0
12,13,2,1,1,16,-0.0
12,13,2,2,1,16,0.0
12,13,2,3,1,16,1.0
12,13,2,4,1,16,-0.0
13,14,1,0,1,13,-0.0
13,14,1,1,1,13,-0.0
13,14,1,2,1,13,-0.0
13,14,1,3,1,13,-0.0
13,14,1,4,1,13,-0.0
13,14,2,0,1,13,1.0
13,14,2,1,1,13,-0.0
13,14,2,2,1,13,-0.0
13,14,2,3,1,13,-0.0
13,14,2,4,1,13,-0.0
14,15,1,0,1,20,-0.0
14,15,1,1,1,20,-0.0
14,15,1,2,1,20,-0.0
14,15,1,3,1,20,-0.0
14,15,1,4,1,20,-0.0
14,15,2,0,1,20,0.0
14,15,2,1,1,20,1.0
14,15,2,2,1,20,-0.0
14,15,2,3,1,20,-0.0
14,15,2,4,1,20,-0.0
15,16,1,0,1,14,-0.0
15,16,1,1,1,14,-0.0
15,16,1,2,1,14,-0.0
15,16,1,3,1,14,-0.0
15,16,1,4,1,14,-0.0
15,16,2,0,1,14,-0.0
15,16,2,1,1,14,-0.0
15,16,2,2,1,14,0.0
15,16,2,3,1,14,1.0
15,16,2,4,1,14,-0.0
16,17,1,0,1,17,1.0
16,17,1,1,1,17,-0.0
16,17,1,2,1,17,-0.0
16,17,1,3,1,17,-0.0
16,17,1,4,1,17,-0.0
16,17,2,0,1,17,-0.0
16,17,2,1,1,17,-0.0
16,17,2,2,1,17,-0.0
16,17,2,3,1,17,0.0
16,17,2,4,1,17,-0.0
17,18,1,0,1,15,-0.0
17,18,1,1,1,15,-0.0
17,18,1,2,1,15,-0.0
17,18,1,3,1,15,-0.0
17,18,1,4,1,15,-0.0
17,18,2,0,1,15,-0.0
17,18,2,1,1,15,-0.0
17,18,2,2,1,15,1.0
17,18,2,3,1,15,0.0
17,18,2,4,1,15,-0.0
18,19,1,0,1,20,-0.0
18,19,1,1,1,20,-0.0
18,19,1,2,1,20,0.0
18,19,1,3,1,20,-0.0
18,19,1,4,1,20,-0.0
18,19,2,0,1,20,1.0
18,19,2,1,1,20,-0.0
18,19,2,2,1,20,-0.0
18,19,2,3,1,20,-0.0
18,19,2,4,1,20,-0.0
19,20,1,0,2,19,-0.0
19,20,1,1,2,19,-0.0
19,20,1,2,2,19,-0.0
19,20,1,3,2,19,-0.0
19,20,1,4,2,19,-0.0
19,20,2,0,2,19,-0.0
19,20,2,1,2,19,-0.0
19,20,2,2,2,19,-0.0
19,20,2,3,2,19,1.0
19,20,2,4,2,19,-0.0
20,21,1,0,2,16,0.0
20,21,1,1,2,16,-0.0
20,21,1,2,2,16,1.0
20,21,1,3,2,16,-0.0
20,21,1,4,2,16,-0.0
20,21,2,0,2,16,-0.0
20,21,2,1,2,16,-0.0
20,21,2,2,2,16,-0.0
20,21,2,3,2,16,-0.0
20,21,2,4,2,16,-0.0
21,22,1,0,2,15,-0.0
21,22,1,1,2,15,-0.0
21,22,1,2,2,15,0.0
21,22,1,3,2,15,-0.0
21,22,1,4,2,15,-0.0
21,22,2,0,2,15,-0.0
21,22,2,1,2,15,1.0
21,22,2,2,2,15,-0.0
21,22,2,3,2,15,-0.0
21,22,2,4,2,15,-0.0
22,23,1,0,2,19,-0.0
22,23,1,1,2,19,-0.0
22,23,1,2,2,19,-0.0
22,23,1,3,2,19,1.0
22,23,1,4,2,19,-0.0
22,23,2,0,2,19,-0.0
22,23,2,1,2,19,-0.0
22,23,2,2,2,19,-0.0
22,23,2,3,2,19,-0.0
22,23,2,4,2,19,0.0
23,24,1,0,2,15,-0.0
23,24,1,1,2,15,-0.0
23,24,1,2,2,15,-0.0
23,24,1,3,2,15,-0.0
23,24,1,4,2,15,-0.0
23,24,2,0,2,15,-0.0
23,24,2,1,2,15,-0.0
23,24,2,2,2,15,-0.0
23,24,2,3,2,15,-0.0
23,24,2,4,2,15,1.0
24,25,1,0,2,16,1.0
24,25,1,1,2,16,-0.0
24,25,1,2,2,16,-0.0
24,25,1,3,2,16,-0.0
24,25,1,4,2,16,-0.0
24,25,2,0,2,16,0.0
24,25,2,1,2,16,-0.0
24,25,2,2,2,16,-0.0
24,25,2,3,2,16,-0.0
24,25,2,4,2,16,-0.0
25,26,1,0,2,28,-0.0
25,26,1,1,2,28,-0.0
25,26,1,2,2,28,-0.0
25,26,1,3,2,28,1.0
25,26,1,4,2,28,-0.0
25,26,2,0,2,28,-0.0
25,26,2,1,2,28,-0.0
25,26,2,2,2,28,-0.0
25,26,2,3,2,28,-0.0
25,26,2,4,2,28,0.0
26,27,1,0,2,16,1.0
26,27,1,1,2,16,0.0
26,27,1,2,2,16,-0.0
26,27,1,3,2,16,-0.0
26,27,1,4,2,16,-0.0
26,27,2,0,2,16,-0.0
26,27,2,1,2,16,-0.0
26,27,2,2,2,16,-0.0
26,27,2,3,2,16,-0.0
26,27,2,4,2,16,-0.0
27,28,1,0,2,18,0.0
27,28,1,1,2,18,-0.0
27,28,1,2,2,18,-0.0
27,28,1,3,2,18,-0.0
27,28,1,4,2,18,-0.0
27,28,2,0,2,18,-0.0
27,28,2,1,2,18,1.0
27,28,2,2,2,18,-0.0
27,28,2,3,2,18,-0.0
27,28,2,4,2,18,-0.0
28,29,1,0,2,8,-0.0
28,29,1,1,2,8,-0.0
28,29,1,2,2,8,-0.0
28,29,1,3,2,8,-0.0
28,29,1,4,2,8,-0.0
28,29,2,0,2,8,-0.0
28,29,2,1,2,8,-0.0
28,29,2,2,2,8,-0.0
28,29,2,3,2,8,1.0
28,29,2,4,2,8,-0.0
29,30,1,0,2,13,-0.0
29,30,1,1,2,13,-0.0
29,30,1,2,2,13,1.0
29,30,1,3,2,13,-0.0
29,30,1,4,2,13,-0.0
29,30,2,0,2,13,-0.0
29,30,2,1,2,13,-0.0
29,30,2,2,2,13,-0.0
29,30,2,3,2,13,-0.0
29,30,2,4,2,13,-0.0
30,31,1,0,2,20,-0.0
30,31,1,1,2,20,-0.0
30,31,1,2,2,20,-0.0
30,31,1,3,2,20,-0.0
30,31,1,4,2,20,-0.0
30,31,2,0,2,20,-0.0
30,31,2,1,2,20,-0.0
30,31,2,2,2,20,0.0
30,31,2,3,2,20,1.0
30,31,2,4,2,20,-0.0
31,32,1,0,2,21,-0.0
31,32,1,1,2,21,-0.0
31,32,1,2,2,21,1.0
31,32,1,3,2,21,-0.0
31,32,1,4,2,21,-0.0
31,32,2,0,2,21,-0.0
31,32,2,1,2,21,-0.0
31,32,2,2,2,21,-0.0
31,32,2,3,2,21,-0.0
31,32,2,4,2,21,-0.0
