Week,Used Minutes,Patients Registered
1,5678.72,119
2,4487.36,90
3,5401.61,116
4,5100.64,108
5,4385.12,86
6,4233.86,91
7,4679.24,95
8,4849.68,101
9,4732.98,99
10,4453.31,92
11,4749.1,96
12,4798.48,98
13,4313.23,94
14,4609.04,93
15,5737.4,115
16,4472.36,87
17,4509.52,99
18,5222.6,105
19,4124.08,82
20,4146.23,83
21,4600.78,92
22,5512.61,114
23,5349.41,109
24,3360.05,67
25,5439.58,114
26,3386.33,65
27,4731.46,93
28,2902.63,61
29,4106.94,80
30,5484.37,114
31,3652.17,76
32,5095.65,109
33,4443.68,90
34,5482.59,112
35,3965.0,79
36,5043.42,101
37,5762.81,117
38,4871.74,102
39,4831.28,97
40,4637.38,93
41,4279.66,86
42,4911.3,101
43,3268.04,68
44,3816.46,76
45,5555.56,119
46,2724.23,57
47,6037.37,120
48,4447.95,96
49,3657.21,76
50,5573.54,117
51,3625.06,77
52,4981.42,101
